s.no.,districts,year,type,cyber_crimes,pop_in_lak,cyber_cr,avg_temp,tot_rf
25,tiruvannamalai,2019,cyber crime,0,23.1,0.0,28.67678348600633,28.67678348600633
24,tiruvannamalai,2020,cyber crime,0,28.4,0.0,28.17230847466317,1265.124695489193
24,tiruvannamalai,2021,cyber crime,0,13.4,0.0,27.22945758953169,1517.666833187356
23,tiruvannamalai,2022,cyber crime,43,26.2,1.6,27.12678274199193,1318.010944030999
30,vellore,2011,cyber crime,0,39.28,0.0,28.55493151,1018.4
30,vellore,2012,cyber crimes,0,39.85,0.0,28.14036735,873.8
30,vellore,2013,cyber crime,0,40.52,0.0,28.80782967,853.4
30,vellore,2014,cyber crime,4,41.15,0.1,28.83589041,868.6
30,vellore,2015,cyber crime,0,41.8,0.0,28.61424658,1574.9
30,vellore,2016,cyber crime,3,42.4,0.1,29.21393443,909.2
30,vellore,2017,cyber crime,0,43.1,0.0,28.95438356,1226.8
30,vellore,2018,cyber crime,0,43.8,0.0,28.45191781,920.2
30,vellore,2019,cyber crime,1,44.46,0.0,29.23945205,1082.3
30,vellore,2020,cyber crime,9,43.3,0.2,28.61352459,1210.5
30,vellore,2021,cyber crime,9,41.7,0.2,27.4653713,1299.1
30,vellore,2022,cyber crime,111,41.9,2.6,27.29964681,1262.35
31,viluppuram,2011,cyber crime,0,34.63,0.0,28.0754665591878,1325.520782606248
31,viluppuram,2012,cyber crimes,0,35.14,0.0,28.57600898510493,1027.008481617605
31,viluppuram,2013,cyber crime,0,35.72,0.0,28.44036141546331,955.9231190770095
31,viluppuram,2014,cyber crime,6,36.28,0.2,28.2717503385925,1208.641823162588
31,viluppuram,2015,cyber crime,4,36.9,0.1,28.35973858915675,1650.045875605793
31,viluppuram,2016,cyber crime,12,37.4,0.3,28.77103581642669,729.6877496226443
31,viluppuram,2017,cyber crime,10,38.0,0.3,28.58890785271252,1369.03431238048
31,viluppuram,2018,cyber crime,13,38.6,0.3,28.21661984926385,992.9797833971845
31,viluppuram,2019,cyber crime,13,39.2,0.3,28.6720505243933,28.6720505243933
31,viluppuram,2020,cyber crime,12,35.7,0.3,28.26370486187139,1382.256530872162
31,viluppuram,2021,cyber crime,42,36.7,1.1,27.44898632926207,1724.655751959551
31,viluppuram,2022,cyber crime,89,36.8,2.4,27.48201070441327,1362.654147836365
32,virudunagar,2011,cyber crime,0,19.43,0.0,27.26829277954876,897.159782708649
32,virudunagar,2012,cyber crimes,0,19.72,0.0,27.16108733081199,798.5556527055214
32,virudunagar,2013,cyber crime,0,20.04,0.0,27.19576616021052,776.9659950378951
32,virudunagar,2014,cyber crime,3,20.36,0.1,26.89726494573222,1157.616943600281
32,virudunagar,2015,cyber crime,1,20.7,0.0,26.68256748996387,1280.127550433245
32,virudunagar,2016,cyber crime,0,21.0,0.0,27.43965408383271,618.279213297962
32,virudunagar,2017,cyber crime,1,21.3,0.0,27.06085608164828,1073.895358502646
32,virudunagar,2018,cyber crime,10,21.7,0.5,26.74458403166563,913.9880645726142
32,virudunagar,2019,cyber crime,11,21.99,0.5,27.34385113410961,27.34385113410961
32,virudunagar,2020,cyber crime,18,22.3,0.8,26.70548681598466,1133.076274707279
32,virudunagar,2021,cyber crime,12,20.6,0.6,26.17477283364859,1418.925711525034
32,virudunagar,2022,cyber crime,39,20.7,1.9,26.22212318611844,1334.711742950689
